word	vol_lv	count
FLAVORED BEAN COFFEE	3	624
PEANUT BUTTER	4	6756
KIDS CEREAL	4	16917
TRADITIONAL	4	7071
POURABLE SALAD DRESSINGS	4	12586
THIGHS (IQF)	2	181
CROUTONS SALAD TOPPERS BREAD	3	2218
EGGS - X-LARGE	4	9394
PICKLES	4	5021
JELLY	3	2095
HEAD LETTUCE	4	7064
ONIONS SWEET (BULK&BAG)	4	6072
FLUID MILK WHITE ONLY	5	62540
ICE CREAM SANDWICHES	3	2166
PRESERVES JAM MARMALADE	3	3018
FRZN BREADED PREPARED CHICK	4	8112
MAINSTREAM WHITE BREAD	4	26867
COVERGIRL	3	1284
FIRST AID MEDICATIONS	3	419
DAIRY CASE 100% PURE JUICE - O	4	16475
CARDS EVERYDAY	4	6013
RUBBER GLOVES	2	282
PREMIUM	4	17507
BLENDED JUICE&COMBINATIONS (50	3	1473
FABRIC REFRESHERS/DRY CLEAN	3	468
 	4	7102
ORAL HYGIENE BRUSHES	3	1750
MISCELLANEOUS CHEESE	3	2694
PRETZELS	4	7324
CORN CHIPS	4	3347
CANDY BARS (SINGLES)(INCLUDING	4	21582
REFRIGERATED COFFEE CREAMERS	4	6109
FRZN DINNER ROLLS	3	797
SW GDS:DONUTS	4	6340
LIQUID LAUNDRY DETERGENTS	4	7282
POTATOES RUSSET (BULK&BAG)	4	9665
BEERALEMALT LIQUORS	4	16281
FRUIT SNACKS	4	5384
LINKS - RAW	3	2571
KOSHER/SPECIALTY	3	1019
YOGURT NOT MULTI-PACKS	5	37099
IWS SINGLE CHEESE	4	11867
SALAD MUSTARD	3	2608
BEANS GREEN: FS/WHL/CUT	4	7522
DRESSINGS	3	1522
MAINSTREAM	4	10347
COTTAGE CHEESE	4	8245
SKILLET DINNERS	4	5436
COLESLAW	3	885
MARGARINE  STICK	4	4523
FRZN BAGGED VEGETABLES - PLAIN	4	13655
CELERY	4	4810
BANANAS	4	30090
ORIENTAL OTHER SAUCES MARINAD	3	980
ORIENTAL VEGETABLES	3	611
